Von Gebäude,Von Stockwerk,Zu Gebäude,Zu Stockwerk,Steps,Bemerkungen
D,2,C,2,0,
D,2,A,1.5,0,
E,1,A,0.5,0,
A,1.5,C,1,0,
A,0.5,C,2,0,
A,0,C,0,0,
A,0,E,0,0,
A,-0.5,F,0,0,
B,0,M,0,0,
Boden,0,A,0,0,
Boden,0,A,-0.5,0,
Boden,0,B,0,0,
Boden,0,C,0,0,
Boden,0,D,0,0,
Boden,0,E,0,0,
Boden,0,F,0,0,
Boden,0,G,0,0,
Boden,0,H,0,0,
Boden,0,J,0,0,
Boden,0,K,0,0,
Boden,0,M,0,0,
Boden,0,W,0,0,
G,0,G,1,33,Haupttreppe
G,1,G,2,25,Haupttreppe
G,2,G,3,25,Haupttreppe
G,2,G,3,24,Seitentreppe
G,1,G,2,24,Seitentreppe
G,0,G,1,34,Seitentreppe
J,0,J,1,21,Haupttreppe
J,1,J,2,21,Haupttreppe
D,0,D,1,19,Haupttreppe
D,1,D,2,20,Haupttreppe
D,2,D,3,20,Haupttreppe
D,2,D,3,20,Seitentreppe
D,1,D,2,20,Seitentreppe
D,0,D,1,19,Seitentreppe
D,1,D,2,19,Außentreppe
D,0,D,1,18,Ausentreppe
E,0,E,1,23,Nottür raus???
E,0,E,-0.5,6,Einzelner Raum (E005/006)
E,0,E,-1,19,(tischtennis spinte und toilette)
E,0,E,1,22,Haupttreppe (über spindte)
A,0,A,0.5,22,Haupttreppe
A,0.5,A,1,6,Eine der vielen
C,0,C,1,22,Treppe bei A
C,1,C,2,22,Treppe bei A
C,2,C,3,22,Treppe bei A
A,0.5,A,1.5,22,Haupttreppe
C,2,C,3,22,Seittreppe
A,1.5,A,2,3,Eine der Vielen
C,1,C,2,22,Seittreppe
C,0,C,1,22,Seittreppe
A,0,A,-0.5,8,Aula
K,0,K,1,24,Treppe am brik
K,1,K,2,24,Die am Aufzug
K,2,K,3,24,Die am Aufzug
K,0,K,1,24,Die am Aufzug
K,1,K,2,24,Treppe am brik