ShortCode,FullName,Lecturers
UXD_DF_FW,Digitalfotografie,Mario Schubert
UXD_IMK_SPO2016W,Informations- und Medienkompetenz,
UXD_PR,Projekt,
UXD_FWS,Fachwissenschaftliches Seminar,
UXD_VAR,Virtual und Augmented Reality,
UXD_IV,Informationsvisualisierung,
UXD_SDUT,Studiendesign und Durchführung von UX Tests,
UXD_VARP,Praktikum Virtual und Augmented Reality,
UXD_IMK,Informations- und Medienkompetenz (PLV3),
UXD_SMWA,Sicherheit von mobilen und webbasierten Anwendungen,
UXD_BDD_FW,Brand Design Development,
UXD_DF_FW,Digitalfotografie,
UXD_MPIG_FW,Medienpsychologie - Effekte digitaler Medien auf Individuum und Gesellschaft,
UXD_VCUX_FW,Introduction to Vibe Coding for User Experience Designers,