Gebäude,Stockwerk,Stufen,Bemerkungen,
G,1,33,Haupttreppe,
G,2,25,Haupttreppe,
G,3,25,Haupttreppe,
G,3,24,Seitentreppe,
G,2,24,Seitentreppe,
G,1,34,Seitentreppe,
J,1,21,Haupttreppe,
J,2,21,Haupttreppe ,
D,1,19,Haupttreppe,
D,2,20,Haupttreppe,
D,3,20,Haupttreppe,
D,3,20,Seitentreppe,
D,2,20,Seitentreppe,
D,1,19,Seitentreppe,
D,2,19,Außentreppe,
D,1,18,Ausentreppe,
E,1,23,Nottür raus???,
E,"-0,5",6,Einzelner Raum (E005/006),
E,-1,19,(tischtennis spinte und toilette),
E,1,22,Haupttreppe (über spindte),
A,"0,5",22,Haupttreppe,
A,1,6,Eine der vielen,
C,1,22,Treppe bei A,
C,2,22,Treppe bei A,
C,3,22,Treppe bei A,
A,"1,5",22,Haupttreppe,
C,3,22,Seittreppe,
A,2,3,Eine der Vielen,
C,2,22,Seittreppe,
C,1,22,Seittreppe,
A,"-0,5",8,Aula,